Andorra,andorra
Sierra Leone,sierra-leone
San Marino,san-marino
Senegal,senegal
Somalia,somalia
Suriname,suriname
São Tomé and Príncipe,são-tomé-and-príncipe
El Salvador,el-salvador
Syria,syria
Swaziland,swaziland
Turks and Caicos Islands,turks-and-caicos-islands
Chad,chad
French Southern Territories,french-southern-territories
Togo,togo
Thailand,thailand
Tajikistan,tajikistan
Tokelau,tokelau
Timor-Leste,timor-leste
Turkmenistan,turkmenistan
Tunisia,tunisia
Tonga,tonga
Turkey,turkey
Trinidad and Tobago,trinidad-and-tobago
Tuvalu,tuvalu
Taiwan,china-taiwan
Tanzania,tanzania
Ukraine,ukraine
Uganda,uganda
U.S. Minor Outlying Islands,u.s.-minor-outlying-islands
United States,united-states
Uruguay,uruguay
Uzbekistan,uzbekistan
Vatican City,vatican-city
Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines
Venezuela,venezuela
British Virgin Islands,british-virgin-islands
U.S. Virgin Islands,u.s.-virgin-islands
Vietnam,vietnam
Vanuatu,vanuatu
Wallis and Futuna,wallis-and-futuna
Samoa,samoa
Kosovo,kosovo
Yemen,yemen
Mayotte,mayotte
South Africa,south-africa
Zambia,zambia
Zimbabwe,zimbabwe
